Province,Age,Gender,Education,Employment,Income_Group,Weight,Rel_Satisfaction,Online_Contact_Freq,SM_Interfere_Rel,SM_Interfere_Life,SM_Anxious_Envious,SM_AI_Chatbot,SM_AI_Email,Household_Type,Online_Shopping
Ontario,65 years and over,Male,University degree,Not employed,"≥ $163,751",841.415978404,Neutral,Not in the past month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,45–54 years,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",2131.692749322,Somewhat satisfied,2–3 times a month,No,Yes,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,55–64 years,Male,High school or less,Not employed,"≤ $42,256",1979.171023327,Completely dissatisfied,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
Alberta,55–64 years,Male,University degree,Employed,"≤ $42,256",788.795914636,Completely satisfied,Once a week,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
Manitoba,65 years and over,Male,High school or less,Not employed,"$72,367 – $107,480",508.731869573,Somewhat satisfied,2–3 times a month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Female,University degree,Employed,"$107,481 – $163,750",825.04699939,Completely satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Manitoba,25–34 years,Male,University degree,Not employed,"$42,257 – $72,366",2011.034428838,Somewhat satisfied,Once a week,Yes,Yes,No,Yes,No,Single-person household,Online shopper (≥ $1)
Alberta,35–44 years,Male,University degree,Employed,"≥ $163,751",2297.715619753,Somewhat satisfied,Everyday,No,No,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,45–54 years,Male,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1905.693640891,Somewhat dissatisfied,Not in the past month,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
Quebec,35–44 years,Male,University degree,Employed,"≥ $163,751",1347.428129442,Somewhat satisfied,A few times a week,No,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Saskatchewan,65 years and over,Female,High school or less,Not employed,"≤ $42,256",467.698796469,,,,,,,,Single-person household,
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",572.807508594,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
Ontario,35–44 years,Female,University degree,Employed,"≥ $163,751",2546.449369519,Completely satisfied,Once a week,No,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Male,University degree,Employed,"$42,257 – $72,366",666.246328555,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",1237.121968472,,Not in the past month,No,No,No,No,No,Single-person household,Did not shop online
Prince Edward Island,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",97.284495171,Completely satisfied,Everyday,No,Yes,No,No,No,Single-person household,Did not shop online
Quebec,25–34 years,Male,University degree,Employed,"$72,367 – $107,480",1901.053773754,Somewhat dissatisfied,Once a week,No,Yes,Yes,Yes,Yes,Single-person household,Online shopper (≥ $1)
Saskatchewan,25–34 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",358.740312915,Completely satisfied,2–3 times a month,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,35–44 years,Female,High school or less,Employed,"$42,257 – $72,366",983.318881263,Completely satisfied,Everyday,No,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,25–34 years,Male,University degree,Employed,"$107,481 – $163,750",1164.306469382,Somewhat satisfied,Everyday,No,Yes,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,High school or less,Not employed,"≤ $42,256",622.033899802,,,,,,,,Family without children <18,
British Columbia,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",403.865114651,Neutral,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
British Columbia,55–64 years,Male,High school or less,Not employed,"≤ $42,256",1554.061320255,Somewhat satisfied,Everyday,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
British Columbia,35–44 years,Male,University degree,Employed,"≥ $163,751",1148.617776557,Completely satisfied,Everyday,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,High school or less,Employed,"$42,257 – $72,366",1861.045989381,Completely satisfied,2–3 times a month,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
British Columbia,65 years and over,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",699.0311479,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,25–34 years,Female,University degree,Employed,"≥ $163,751",1385.921275663,Somewhat satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,35–44 years,Female,University degree,Not employed,"$107,481 – $163,750",596.337873981,Somewhat satisfied,A few times a week,No,No,Yes,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,University degree,Employed,"≥ $163,751",795.635082448,Completely satisfied,Once a month,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,55–64 years,Female,High school or less,Employed,"≤ $42,256",558.591259966,Completely satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",1083.542252279,Somewhat satisfied,Once a week,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Alberta,35–44 years,Female,High school or less,Employed,"$72,367 – $107,480",1431.739843963,Completely satisfied,Everyday,Yes,Yes,Yes,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,University degree,Not employed,"≤ $42,256",795.635082448,Neutral,Once a month,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
New Brunswick,55–64 years,Female,High school or less,Not employed,"≤ $42,256",946.534249226,Completely satisfied,A few times a week,No,No,No,Yes,Yes,,Online shopper (≥ $1)
Quebec,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",619.047580639,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,45–54 years,Female,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",788.831029096,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
New Brunswick,65 years and over,Female,High school or less,Not employed,"$72,367 – $107,480",221.236204137,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Newfoundland and Labrador,35–44 years,Female,University degree,Employed,"≥ $163,751",226.159175113,Somewhat dissatisfied,Not in the past month,No,No,No,No,Yes,,Online shopper (≥ $1)
Ontario,25–34 years,Male,High school or less,Not employed,"≤ $42,256",1855.025674921,Neutral,Once a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Female,High school or less,Not employed,"$72,367 – $107,480",1317.018279939,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Alberta,25–34 years,Male,,,"$107,481 – $163,750",2320.966797185,Neutral,A few times a week,No,No,No,,,Family with children <18,
British Columbia,35–44 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",2918.212771366,Somewhat satisfied,2–3 times a month,No,Yes,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,45–54 years,Female,University degree,Employed,"$107,481 – $163,750",788.831029096,Somewhat satisfied,Everyday,No,Yes,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Quebec,35–44 years,Female,University degree,Employed,"≥ $163,751",1253.387687479,Neutral,A few times a week,Yes,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
New Brunswick,35–44 years,Male,High school or less,Employed,"$72,367 – $107,480",459.957710649,Completely satisfied,A few times a week,No,No,No,No,No,Family with children <18,Did not shop online
Saskatchewan,15–24 years,Female,Some post-secondary (incl. certificate),Employed,"≥ $163,751",4414.805044832,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,65 years and over,Male,University degree,Employed,"$72,367 – $107,480",1864.394501369,Somewhat satisfied,A few times a week,No,No,No,No,Yes,Single-person household,Did not shop online
Ontario,45–54 years,Male,University degree,Employed,"≥ $163,751",1083.542252279,Somewhat satisfied,A few times a week,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
New Brunswick,35–44 years,Male,,,"≥ $163,751",592.24897073,,,,,,,,Family with children <18,
British Columbia,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",1233.147352414,,,,,,,,Family without children <18,
Prince Edward Island,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",58.527518305,,,,,,,,Family without children <18,
Saskatchewan,35–44 years,Male,University degree,Employed,"$72,367 – $107,480",730.876047949,Somewhat satisfied,Everyday,No,Yes,Yes,Yes,Yes,Single-person household,Online shopper (≥ $1)
New Brunswick,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",247.583062024,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Manitoba,45–54 years,Female,Some post-secondary (incl. certificate),Not employed,"≥ $163,751",348.926040727,Somewhat satisfied,Everyday,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Saskatchewan,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",388.345896823,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",898.842027908,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,University degree,Not employed,"≤ $42,256",314.666395321,Somewhat satisfied,,No,No,No,No,No,Single-person household,Did not shop online
Newfoundland and Labrador,55–64 years,Female,High school or less,Not employed,"$42,257 – $72,366",202.197599477,Somewhat satisfied,2–3 times a month,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Quebec,65 years and over,Male,High school or less,Employed,"$42,257 – $72,366",1404.425617728,Somewhat satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Quebec,15–24 years,Female,High school or less,Employed,"≤ $42,256",4204.954687266,Completely satisfied,Everyday,No,Yes,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Saskatchewan,35–44 years,Female,University degree,Employed,"$72,367 – $107,480",463.083770025,Somewhat satisfied,Everyday,No,No,Yes,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Female,University degree,Employed,"$42,257 – $72,366",993.889079031,Neutral,2–3 times a month,No,Yes,No,No,Yes,,Online shopper (≥ $1)
Nova Scotia,55–64 years,Male,High school or less,Employed,"≥ $163,751",538.402289209,Somewhat satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,35–44 years,Male,University degree,Employed,"≥ $163,751",1148.617776557,Somewhat satisfied,A few times a week,No,Yes,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Manitoba,55–64 years,Female,High school or less,Employed,"$107,481 – $163,750",811.53934201,Completely satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
British Columbia,35–44 years,Male,High school or less,Employed,"≤ $42,256",1189.423946428,Completely satisfied,Not in the past month,No,Yes,No,,,Single-person household,Online shopper (≥ $1)
Alberta,35–44 years,Female,,,"≥ $163,751",2319.399382048,,,,,,,,Family with children <18,
British Columbia,45–54 years,Female,University degree,Employed,"$107,481 – $163,750",541.099664393,Somewhat satisfied,Everyday,No,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Newfoundland and Labrador,55–64 years,Female,High school or less,Not employed,"$107,481 – $163,750",192.660261538,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,University degree,Employed,"$107,481 – $163,750",842.929907402,Somewhat satisfied,Everyday,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
British Columbia,65 years and over,Female,University degree,Not employed,"$72,367 – $107,480",600.426843738,Somewhat satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
British Columbia,35–44 years,Female,University degree,Employed,"$107,481 – $163,750",1580.187140878,Somewhat dissatisfied,Once a week,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Female,University degree,Employed,"≥ $163,751",825.04699939,Somewhat satisfied,Once a month,No,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,25–34 years,Female,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",746.731781558,,,,,,,,Family without children <18,
British Columbia,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",742.729400212,Somewhat satisfied,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1767.638760014,,,,,,,,Single-person household,
Alberta,35–44 years,Female,,,"$107,481 – $163,750",703.071365367,Somewhat satisfied,Everyday,No,No,No,,,Family with children <18,
New Brunswick,65 years and over,Female,University degree,Not employed,"$42,257 – $72,366",355.402013801,Completely satisfied,Everyday,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
New Brunswick,45–54 years,Female,University degree,Employed,"≥ $163,751",349.624260553,Completely satisfied,A few times a week,No,No,Yes,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,55–64 years,Male,University degree,Employed,"≥ $163,751",795.635082448,Somewhat dissatisfied,2–3 times a month,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,High school or less,Not employed,"≤ $42,256",1165.203666735,,,,,,,,Single-person household,
Ontario,,Female,High school or less,Not employed,"≤ $42,256",5029.055069918,,,,,,,,Single-person household,
Quebec,35–44 years,Male,High school or less,Not employed,"$72,367 – $107,480",901.766728723,Completely satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,High school or less,Not employed,"≤ $42,256",239.963406934,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Saskatchewan,35–44 years,Female,University degree,Employed,"≥ $163,751",463.083770025,Somewhat satisfied,A few times a week,No,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",655.194552731,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Did not shop online
Quebec,55–64 years,Male,High school or less,Not employed,"≤ $42,256",1398.740466712,Neutral,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
British Columbia,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",726.428236526,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,45–54 years,Female,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",2666.289927908,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Prince Edward Island,55–64 years,Female,University degree,Employed,"≥ $163,751",82.980816829,Completely satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",320.284108304,Somewhat satisfied,Everyday,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Manitoba,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",378.741075131,Somewhat satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Alberta,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",2162.968249122,Completely satisfied,A few times a week,No,Yes,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Alberta,55–64 years,Female,High school or less,Employed,"$72,367 – $107,480",1114.031900513,Somewhat satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Alberta,55–64 years,Male,High school or less,Not employed,"$42,257 – $72,366",1255.693619352,Completely satisfied,Once a week,No,No,Yes,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,55–64 years,Female,High school or less,Employed,"$107,481 – $163,750",646.820644002,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",4215.018015345,Neutral,Once a week,Yes,No,No,No,No,Family with children <18,
Alberta,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",2435.376405931,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,55–64 years,Male,University degree,Employed,"≥ $163,751",520.606169515,Completely satisfied,2–3 times a month,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,15–24 years,Female,High school or less,Not employed,"$42,257 – $72,366",3590.049265183,Somewhat dissatisfied,Once a week,No,Yes,No,No,No,Family without children <18,Online shopper (≥ $1)
Newfoundland and Labrador,25–34 years,Female,University degree,Employed,"$72,367 – $107,480",434.868296858,Somewhat satisfied,Everyday,No,No,Yes,Yes,No,Single-person household,Online shopper (≥ $1)
British Columbia,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"≥ $163,751",1046.972446514,Neutral,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Quebec,35–44 years,Female,,,"≤ $42,256",1506.986606041,Neutral,Everyday,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Quebec,65 years and over,Female,University degree,Not employed,"$72,367 – $107,480",572.807508594,Completely satisfied,Once a week,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
Saskatchewan,65 years and over,Male,University degree,Not employed,"≤ $42,256",540.400610966,Somewhat satisfied,Not in the past month,No,No,No,No,No,Single-person household,Did not shop online
Manitoba,65 years and over,Female,University degree,Not employed,"$72,367 – $107,480",402.252690763,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,25–34 years,Female,University degree,Employed,"$107,481 – $163,750",3977.650896235,Somewhat satisfied,A few times a week,No,No,Yes,Yes,No,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,High school or less,Not employed,"≤ $42,256",2052.533551368,Completely dissatisfied,Not in the past month,No,No,No,No,No,Single-person household,Did not shop online
Ontario,45–54 years,Female,Some post-secondary (incl. certificate),Employed,"≤ $42,256",3214.174140924,Completely satisfied,A few times a week,No,Yes,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,25–34 years,Female,University degree,Employed,"≥ $163,751",2713.410278549,Neutral,Everyday,Yes,Yes,Yes,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",929.708585733,Completely satisfied,,No,No,No,No,No,Single-person household,Did not shop online
Ontario,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",1909.533572108,Completely satisfied,Once a month,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Quebec,65 years and over,Male,University degree,Not employed,"$72,367 – $107,480",682.278466847,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,35–44 years,Male,High school or less,Employed,"$42,257 – $72,366",2050.053094074,Completely satisfied,Everyday,No,Yes,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,65 years and over,Female,High school or less,Not employed,"≤ $42,256",863.338180807,Completely satisfied,2–3 times a month,No,No,No,No,No,Single-person household,Did not shop online
Quebec,25–34 years,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",2641.898517149,Completely satisfied,Everyday,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
Newfoundland and Labrador,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"≥ $163,751",702.434357788,Completely satisfied,Everyday,No,No,Yes,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,High school or less,Employed,"$72,367 – $107,480",898.842027908,Completely satisfied,Everyday,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
Ontario,55–64 years,Male,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",1399.83203614,Neutral,A few times a week,No,Yes,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",3058.716969603,,,,,,,,Single-person household,
Manitoba,65 years and over,Female,University degree,Employed,"≥ $163,751",355.763794799,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,University degree,Employed,"$107,481 – $163,750",1483.921878471,Somewhat dissatisfied,2–3 times a month,No,No,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,45–54 years,Female,,,"$107,481 – $163,750",788.831029096,,,,,,,,Family with children <18,
Newfoundland and Labrador,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",237.538402984,Completely satisfied,Once a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,35–44 years,Female,University degree,Employed,"≥ $163,751",2020.225432825,,Everyday,No,No,Yes,Yes,No,Family with children <18,Did not shop online
Manitoba,55–64 years,Female,High school or less,Employed,"≥ $163,751",654.794195361,Completely satisfied,Everyday,,,,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,35–44 years,Male,University degree,Employed,"$72,367 – $107,480",3061.740260838,Somewhat dissatisfied,A few times a week,No,Yes,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Quebec,35–44 years,Female,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",726.09632685,Completely satisfied,Everyday,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,High school or less,Not employed,"≤ $42,256",1594.891463243,,,,,,,,Single-person household,
Newfoundland and Labrador,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",219.968441056,Somewhat satisfied,Once a week,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,45–54 years,Male,University degree,Employed,"$42,257 – $72,366",1159.500386147,Neutral,2–3 times a month,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Ontario,45–54 years,Male,University degree,Employed,"≥ $163,751",1083.542252279,Completely satisfied,Everyday,No,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
British Columbia,35–44 years,Female,Some post-secondary (incl. certificate),Employed,"≤ $42,256",905.026521046,Completely satisfied,Everyday,No,Yes,No,No,No,Family with children <18,Online shopper (≥ $1)
Newfoundland and Labrador,55–64 years,Female,University degree,Employed,"$42,257 – $72,366",586.90484546,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Nova Scotia,55–64 years,Male,High school or less,Employed,"≤ $42,256",391.619622101,Completely satisfied,Not in the past month,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Quebec,55–64 years,Male,High school or less,Employed,"≤ $42,256",1019.392684737,Somewhat satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Manitoba,65 years and over,Male,University degree,Not employed,"$107,481 – $163,750",536.548453439,Neutral,2–3 times a month,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,25–34 years,Female,University degree,Employed,"≥ $163,751",2713.410278549,Somewhat satisfied,Everyday,Yes,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,15–24 years,Male,High school or less,Not employed,"$72,367 – $107,480",7668.99174974,Somewhat satisfied,Once a week,No,No,No,Yes,Yes,Family with children <18,Did not shop online
British Columbia,35–44 years,Female,University degree,Employed,"≥ $163,751",1484.715931271,Neutral,A few times a week,No,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,45–54 years,Female,Some post-secondary (incl. certificate),Not employed,"≥ $163,751",701.347670223,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,25–34 years,Male,University degree,Employed,"$72,367 – $107,480",1604.348265219,Somewhat dissatisfied,Everyday,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,High school or less,Not employed,"≤ $42,256",293.752508743,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,25–34 years,Male,University degree,Employed,"≥ $163,751",3048.822298484,Completely satisfied,Everyday,No,Yes,Yes,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,65 years and over,Male,,,"$72,367 – $107,480",842.929907402,Somewhat satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,55–64 years,Male,Some post-secondary (incl. certificate),Not employed,"≥ $163,751",744.208857999,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",1112.117086896,Completely satisfied,,No,No,No,No,No,Single-person household,Did not shop online
British Columbia,25–34 years,Male,University degree,Employed,"$72,367 – $107,480",1010.643124518,Completely satisfied,Everyday,No,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,45–54 years,Female,,,"≥ $163,751",1089.986490491,,,,,,,,Family without children <18,
Ontario,45–54 years,Male,University degree,Employed,"$42,257 – $72,366",1444.600591036,Somewhat satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Quebec,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"≥ $163,751",901.766728723,Completely satisfied,A few times a week,No,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,45–54 years,Male,University degree,Employed,"$107,481 – $163,750",1054.981711341,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Single-person household,Did not shop online
Ontario,25–34 years,Male,High school or less,Employed,"≥ $163,751",2148.769229213,Completely satisfied,Everyday,Yes,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",271.169039623,Somewhat satisfied,Everyday,Yes,No,Yes,No,No,Single-person household,Did not shop online
Alberta,35–44 years,Female,University degree,Employed,"≥ $163,751",703.071365367,Neutral,A few times a week,Yes,No,Yes,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,35–44 years,Female,,,"≥ $163,751",1031.865114953,,,,,,,,Family with children <18,
British Columbia,45–54 years,Male,University degree,Employed,"≥ $163,751",1104.253975592,Neutral,Everyday,Yes,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Alberta,35–44 years,Female,High school or less,Employed,"$72,367 – $107,480",1431.739843963,Completely satisfied,Once a week,No,No,No,No,Yes,Family without children <18,Did not shop online
Ontario,65 years and over,Female,High school or less,Not employed,"$107,481 – $163,750",802.768501866,Completely satisfied,,No,No,No,No,No,Family without children <18,Did not shop online
British Columbia,15–24 years,Male,High school or less,Employed,"$72,367 – $107,480",3806.238574528,Completely satisfied,Everyday,No,Yes,No,No,Yes,,Online shopper (≥ $1)
British Columbia,65 years and over,Male,High school or less,Employed,"≥ $163,751",1123.338575138,Neutral,,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,65 years and over,Female,High school or less,Not employed,"≤ $42,256",202.369410286,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
Quebec,45–54 years,Male,,,"$72,367 – $107,480",812.764779061,,,,,,,,Family with children <18,
